generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
10,0.34750000000000003,0.085,0.12248750000000001,0.03856139382530149,"{'avance_balon': -1.803327223225068, 'min_dist_balon_jug': 7.7953663683912, 'max_dist_balon_jug': -10.866148455986782, 'min_dist_balon_op': 12.289553762944664, 'max_dist_balon_op': -31.28953649428793, 'max_avance_jug': -34.28306203964465, 'min_avance_jug': 36.89787228151168, 'max_avance_op': 22.83719954016847, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -29.14843176843338, 'mas_cerca_balon': 15.2550316222477, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -45.64311971722117, 'muy_lejos_jug': 21.545192064006898, 'muy_cerca_op': 43.94173007665475, 'muy_lejos_op': 27.679140365263805}",0.02250000000000002,0.11250000000000002,0.2625
11,0.34750000000000003,0.08,0.12212250000000004,0.039288213801978826,"{'avance_balon': -1.803327223225068, 'min_dist_balon_jug': 7.7953663683912, 'max_dist_balon_jug': -10.866148455986782, 'min_dist_balon_op': 12.289553762944664, 'max_dist_balon_op': -31.28953649428793, 'max_avance_jug': -34.28306203964465, 'min_avance_jug': 36.89787228151168, 'max_avance_op': 22.83719954016847, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -29.14843176843338, 'mas_cerca_balon': 15.2550316222477, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -45.64311971722117, 'muy_lejos_jug': 21.545192064006898, 'muy_cerca_op': 43.94173007665475, 'muy_lejos_op': 27.679140365263805}",0.0,0.11250000000000002,0.2675
12,0.41,0.07,0.12476500000000001,0.04211688823975484,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 0.8789636575670574, 'max_dist_balon_jug': 48.656069724162705, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': -47.75135531299446, 'min_avance_jug': 25.360827281035256, 'max_avance_op': 0.3689235748271855, 'min_avance_op': -46.187918339147416, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -39.47594960311767, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': 39.35627027960928, 'muy_cerca_jug': 3.661241486616376, 'muy_lejos_jug': 10.465683778779699, 'muy_cerca_op': -15.48587983744775, 'muy_lejos_op': 40.34732207681695}",0.062499999999999944,0.17499999999999996,0.33999999999999997
13,0.48250000000000004,0.0775,0.12632,0.04625481164160113,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 0.8789636575670574, 'max_dist_balon_jug': 48.656069724162705, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': -47.75135531299446, 'min_avance_jug': 25.360827281035256, 'max_avance_op': 0.3689235748271855, 'min_avance_op': -46.187918339147416, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -39.47594960311767, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': 39.35627027960928, 'muy_cerca_jug': 3.661241486616376, 'muy_lejos_jug': 10.465683778779699, 'muy_cerca_op': -15.48587983744775, 'muy_lejos_op': 40.34732207681695}",0.07250000000000006,0.24750000000000003,0.405
14,0.33999999999999997,0.07250000000000001,0.12959,0.047062930210517065,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 0.8789636575670574, 'max_dist_balon_jug': 48.656069724162705, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': -47.75135531299446, 'min_avance_jug': 7.844702836505058, 'max_avance_op': 0.3689235748271855, 'min_avance_op': -43.83626305803384, 'muy_cerca_borde_jug': -15.275989198835111, 'muy_cerca_borde_op': 1.1805056122829214, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': 33.014035717627394, 'muy_cerca_jug': 3.661241486616376, 'muy_lejos_jug': -33.03118599834346, 'muy_cerca_op': -14.148675552641432, 'muy_lejos_op': 40.34732207681695}",-0.14250000000000007,0.10499999999999995,0.26749999999999996
15,0.4125,0.0775,0.128055,0.04364492496270327,"{'avance_balon': -1.803327223225068, 'min_dist_balon_jug': 7.7953663683912, 'max_dist_balon_jug': -10.866148455986782, 'min_dist_balon_op': 12.289553762944664, 'max_dist_balon_op': -31.28953649428793, 'max_avance_jug': -43.877433799984765, 'min_avance_jug': 36.89787228151168, 'max_avance_op': 22.83719954016847, 'min_avance_op': -42.510374261833775, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -10.830656033873947, 'mas_cerca_balon': 15.2550316222477, 'casilla_neutra': 39.35627027960928, 'muy_cerca_jug': -20.21404556371348, 'muy_lejos_jug': 18.61336566507672, 'muy_cerca_op': 47.46658045256486, 'muy_lejos_op': 27.679140365263805}",0.07250000000000001,0.17749999999999996,0.33499999999999996
16,0.44749999999999995,0.0775,0.1301875,0.04647522021195811,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 0.8789636575670574, 'max_dist_balon_jug': 48.656069724162705, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': -47.75135531299446, 'min_avance_jug': 2.8593271877542605, 'max_avance_op': 1.9855389531887693, 'min_avance_op': -43.83626305803384, 'muy_cerca_borde_jug': -27.810632807058276, 'muy_cerca_borde_op': 12.661507052706916, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': -47.940062646261175, 'muy_cerca_jug': 3.661241486616376, 'muy_lejos_jug': 5.364180742514925, 'muy_cerca_op': -29.201090997543496, 'muy_lejos_op': 40.34732207681695}",0.034999999999999976,0.21249999999999994,0.36999999999999994
17,0.34750000000000003,0.0775,0.13238500000000003,0.04800454952397741,"{'avance_balon': -5.150124973374698, 'min_dist_balon_jug': 6.896335991258858, 'max_dist_balon_jug': -0.3545724845395588, 'min_dist_balon_op': 5.062349902761987, 'max_dist_balon_op': -25.83776552139004, 'max_avance_jug': 43.438262130669386, 'min_avance_jug': -31.506667548762262, 'max_avance_op': -49.89671558293907, 'min_avance_op': 45.697600656586076, 'muy_cerca_borde_jug': -0.08637915115233537, 'muy_cerca_borde_op': 1.1805056122829214, 'mas_cerca_balon': 20.329572054367844, 'casilla_neutra': 39.15824417938551, 'muy_cerca_jug': 3.375219300036452, 'muy_lejos_jug': 45.33218402193222, 'muy_cerca_op': -20.239702601806407, 'muy_lejos_op': -12.133735908191781}",-0.09999999999999992,0.11250000000000002,0.27
18,0.375,0.0775,0.13073250000000003,0.04807709635314928,"{'avance_balon': -3.890426308216684, 'min_dist_balon_jug': 3.5137403777481246, 'max_dist_balon_jug': -26.21436195149045, 'min_dist_balon_op': -10.169411224114754, 'max_dist_balon_op': -42.97185423848251, 'max_avance_jug': -28.738760942956777, 'min_avance_jug': 46.82557645508561, 'max_avance_op': 18.743954617688992, 'min_avance_op': -1.781319408771708, 'muy_cerca_borde_jug': 43.66165787077942, 'muy_cerca_borde_op': -18.856588401200383, 'mas_cerca_balon': 18.455422108293675, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -18.333085652624188, 'muy_lejos_jug': 1.231519134226037, 'muy_cerca_op': -44.738077145422395, 'muy_lejos_op': -35.354303688320165}",0.02749999999999997,0.13999999999999999,0.2975
19,0.41,0.08,0.1339325,0.05190042575692419,"{'avance_balon': -3.890426308216684, 'min_dist_balon_jug': 3.5137403777481246, 'max_dist_balon_jug': -26.21436195149045, 'min_dist_balon_op': -10.169411224114754, 'max_dist_balon_op': -42.97185423848251, 'max_avance_jug': -28.738760942956777, 'min_avance_jug': 46.82557645508561, 'max_avance_op': 18.743954617688992, 'min_avance_op': -1.781319408771708, 'muy_cerca_borde_jug': 43.66165787077942, 'muy_cerca_borde_op': -18.856588401200383, 'mas_cerca_balon': 18.455422108293675, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -18.333085652624188, 'muy_lejos_jug': 1.231519134226037, 'muy_cerca_op': -44.738077145422395, 'muy_lejos_op': -35.354303688320165}",0.034999999999999976,0.17499999999999996,0.32999999999999996
