Agent_Name,Level,Minimax_Depth,Weight_Source,Fitness_Score,Generation,Total_Games,Wins,Losses,Draws,Score,Win_Rate,Score_Rate,Wins_as_LEFT,Wins_as_RIGHT,LEFT_Win_Rate,RIGHT_Win_Rate,Color_Advantage,Avg_Move_Time,Total_Thinking_Time,Move_Time_Std
Agent depth2_level3_run1,3,2,unknown,0.4925,,8,2,0,6,5.0,0.250,0.625,1,1,0.250,0.250,0.000,0.1981,99.1496,0.1178
Agent depth3_level3_run2,3,3,unknown,0.55,,8,3,1,4,5.0,0.375,0.625,3,0,0.750,0.000,0.750,5.3741,2021.2383,2.5766
Agent depth1_level3_run1,3,1,unknown,0.3875,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0106,8.4434,0.0036
Agent AlbertoBestAgentL3,3,1,unknown,,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0081,4.1148,0.0037
Agent AlbertoAvgL3,3,1,unknown,,,8,0,2,6,3.0,0.000,0.375,0,0,0.000,0.000,0.000,0.0074,4.1017,0.0033
