Agent_Name,Level,Minimax_Depth,Weight_Source,Fitness_Score,Generation,Total_Games,Wins,Losses,Draws,Score,Win_Rate,Score_Rate,Wins_as_LEFT,Wins_as_RIGHT,LEFT_Win_Rate,RIGHT_Win_Rate,Color_Advantage,Avg_Move_Time,Total_Thinking_Time,Move_Time_Std
Agent depth3_level2_run1,2,3,unknown,0.8,,8,4,0,4,6.0,0.500,0.750,4,0,1.000,0.000,1.000,0.212,86.96,0.088
Agent depth1_level2_run2,2,1,unknown,0.5475,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.001,0.85,0.000
Agent depth2_level2_run1,2,2,unknown,0.6174999999999999,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.013,8.14,0.006
Agent AlbertoBestAgent,2,1,unknown,,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.001,0.83,0.001
Agent AlbertoAvg,2,1,unknown,,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.001,0.89,0.001
