generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.33999999999999997,0.0875,0.11538125000000002,0.02983446452406177,"{'avance_balon': 37.574729215875095, 'dist_balon_jug': 39.35933642513103, 'dist_balon_op': -37.96036606447009, 'avance_jug': -9.839992252662114, 'avance_op': 41.58872536843276, 'dist_col_balon_jug': 16.20049967341366, 'dist_col_balon_op': -13.397528092609754, 'mas_cerca_balon': -14.12003019838425}",,0.0,0.25249999999999995
1,0.365,0.0825,0.12489250000000003,0.040790022600508576,"{'avance_balon': 4.381815591998638, 'dist_balon_jug': -21.59094864095913, 'dist_balon_op': -39.28476760510012, 'avance_jug': -46.028954686553746, 'avance_op': -36.328614638433656, 'dist_col_balon_jug': -16.927251532266418, 'dist_col_balon_op': -30.62127201371595, 'mas_cerca_balon': -34.54983821429588}",0.025000000000000022,0.025000000000000022,0.2825
2,0.3375,0.08,0.13636875000000004,0.048344515184635985,"{'avance_balon': 33.14512875712947, 'dist_balon_jug': -29.830759019192154, 'dist_balon_op': -48.43044256383685, 'avance_jug': -28.94377032896194, 'avance_op': 26.469761109875293, 'dist_col_balon_jug': 8.31393588828775, 'dist_col_balon_op': -42.15280666467499, 'mas_cerca_balon': -26.257341539801825}",-0.02749999999999997,-0.0024999999999999467,0.2575
3,0.36,0.0775,0.15034999999999998,0.05894321419807373,"{'avance_balon': 18.056189099278157, 'dist_balon_jug': 11.783015929401728, 'dist_balon_op': 22.88519203499017, 'avance_jug': -41.09256173138985, 'avance_op': -4.111028780878442, 'dist_col_balon_jug': 38.348808931198974, 'dist_col_balon_op': 10.205866889964568, 'mas_cerca_balon': -47.24214781852235}",0.022499999999999964,0.020000000000000018,0.2825
4,0.4375,0.065,0.17767125000000003,0.07678626210747272,"{'avance_balon': 26.568060635310744, 'dist_balon_jug': -38.57543122737326, 'dist_balon_op': -41.1088765341061, 'avance_jug': -48.52609961500553, 'avance_op': 6.834140333283621, 'dist_col_balon_jug': 39.39801633802787, 'dist_col_balon_op': -10.745833174929373, 'mas_cerca_balon': -41.15904087208202}",0.07750000000000001,0.09750000000000003,0.3725
5,0.49000000000000005,0.052500000000000005,0.21733249999999998,0.10137398307134825,"{'avance_balon': 21.509590421753273, 'dist_balon_jug': 48.770441441447915, 'dist_balon_op': -48.07644966893695, 'avance_jug': -42.305361786578445, 'avance_op': -11.352056979328381, 'dist_col_balon_jug': -49.84135915092827, 'dist_col_balon_op': -37.85974857909339, 'mas_cerca_balon': -19.743616792655875}",0.05250000000000005,0.15000000000000008,0.43750000000000006
6,0.5325,0.05500000000000001,0.2928025,0.11845382431036154,"{'avance_balon': 1.236764843737637, 'dist_balon_jug': 19.319697396804138, 'dist_balon_op': -29.978216615102937, 'avance_jug': -30.424706501043886, 'avance_op': -18.811080055256703, 'dist_col_balon_jug': -38.332391484538064, 'dist_col_balon_op': -30.67749243356085, 'mas_cerca_balon': -40.23813234408485}",0.04249999999999993,0.1925,0.4775
7,0.5349999999999999,0.05500000000000001,0.32717874999999996,0.11987610760046181,"{'avance_balon': 2.17429353251093, 'dist_balon_jug': 33.44555904749677, 'dist_balon_op': -13.57953844520979, 'avance_jug': -28.602159071221756, 'avance_op': -12.430377242963692, 'dist_col_balon_jug': 32.41631957604066, 'dist_col_balon_op': 29.401771420472066, 'mas_cerca_balon': -38.63584292841652}",0.0024999999999999467,0.19499999999999995,0.4799999999999999
8,0.5275000000000001,0.052500000000000005,0.35411375,0.12271075823226545,"{'avance_balon': 8.46979939342582, 'dist_balon_jug': 18.48146719391943, 'dist_balon_op': -48.21467727081491, 'avance_jug': -23.948071016550465, 'avance_op': 12.816305956237398, 'dist_col_balon_jug': 46.19988201585226, 'dist_col_balon_op': 23.7473279970432, 'mas_cerca_balon': -36.478955736931795}",-0.00749999999999984,0.1875000000000001,0.4750000000000001
9,0.53,0.052500000000000005,0.36316375000000006,0.12598620980463496,"{'avance_balon': 18.056189099278157, 'dist_balon_jug': 36.131996752462314, 'dist_balon_op': -36.047241025043164, 'avance_jug': -46.13568032564502, 'avance_op': -2.834758431058248, 'dist_col_balon_jug': -49.84135915092827, 'dist_col_balon_op': -37.489656965135715, 'mas_cerca_balon': -45.359204843361795}",0.0024999999999999467,0.19000000000000006,0.47750000000000004
10,0.5375,0.052500000000000005,0.36663125,0.12348028040313765,"{'avance_balon': 18.62511611886909, 'dist_balon_jug': 3.693730042998853, 'dist_balon_op': 40.22702527698074, 'avance_jug': -40.169825920514754, 'avance_op': -4.111028780878442, 'dist_col_balon_jug': 5.713734723380625, 'dist_col_balon_op': 7.218260268049137, 'mas_cerca_balon': -35.75324420013541}",0.007499999999999951,0.1975,0.485
11,0.5325,0.052500000000000005,0.38150375,0.12047255127595456,"{'avance_balon': 1.080104410582699, 'dist_balon_jug': -13.606784187840269, 'dist_balon_op': -41.1088765341061, 'avance_jug': -34.16325507481515, 'avance_op': -15.218414056992582, 'dist_col_balon_jug': -7.8625133769119415, 'dist_col_balon_op': 7.27988960742939, 'mas_cerca_balon': -47.69360551284273}",-0.0050000000000000044,0.1925,0.48
12,0.545,0.05,0.37316375000000007,0.12510073465386803,"{'avance_balon': 46.15565791244023, 'dist_balon_jug': 31.662746847687764, 'dist_balon_op': -19.987993505067692, 'avance_jug': -33.37486303864694, 'avance_op': 44.66898287344059, 'dist_col_balon_jug': 38.348808931198974, 'dist_col_balon_op': -37.48552795471556, 'mas_cerca_balon': -3.7375536858840093}",0.012500000000000067,0.20500000000000007,0.49500000000000005
13,0.5325,0.05500000000000001,0.3789375,0.12652426582972137,"{'avance_balon': 2.17429353251093, 'dist_balon_jug': 25.097830026294957, 'dist_balon_op': -21.21131401401749, 'avance_jug': -36.65457955570986, 'avance_op': -12.430377242963692, 'dist_col_balon_jug': 18.1186099029177, 'dist_col_balon_op': 36.16248696528083, 'mas_cerca_balon': -47.24214781852235}",-0.012500000000000067,0.1925,0.4775
14,0.5349999999999999,0.052500000000000005,0.38368500000000005,0.1253291746761304,"{'avance_balon': 2.17429353251093, 'dist_balon_jug': 25.097830026294957, 'dist_balon_op': -28.502112066717245, 'avance_jug': -35.7541659913874, 'avance_op': -12.430377242963692, 'dist_col_balon_jug': 23.163553814347647, 'dist_col_balon_op': 36.16248696528083, 'mas_cerca_balon': -43.09428918838301}",0.0024999999999999467,0.19499999999999995,0.48249999999999993
15,0.5349999999999999,0.05,0.37682125,0.12964846190154936,"{'avance_balon': 33.14660381804467, 'dist_balon_jug': 12.537234369060483, 'dist_balon_op': -50.0, 'avance_jug': -33.859622688948576, 'avance_op': 28.16127419802519, 'dist_col_balon_jug': -13.453434528921324, 'dist_col_balon_op': -1.5712579256666115, 'mas_cerca_balon': -45.26288544867195}",0.0,0.19499999999999995,0.48499999999999993
