generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.27999999999999997,0.0875,0.11935500000000002,0.031675842135608645,"{'avance_balon': 29.339694317441385, 'min_dist_balon_jug': 37.650174597906855, 'max_dist_balon_jug': 9.745536398650387, 'min_dist_balon_op': -35.727473988053575, 'max_dist_balon_op': 41.49758193198457, 'max_avance_jug': -25.27414520145942, 'min_avance_jug': -17.967167030382434, 'max_avance_op': 43.82089182389318, 'min_avance_op': 48.95446363216976, 'muy_cerca_borde_jug': 10.152117920987756, 'muy_cerca_borde_op': 39.455504666528725, 'mas_cerca_balon': -40.172426608441995, 'casilla_neutra': 37.13475929015053, 'muy_cerca_jug': -16.5124904862622, 'muy_lejos_jug': -24.8093806956835, 'muy_cerca_op': 31.280175284071674, 'muy_lejos_op': -48.8488703475612}",,0.0,0.19249999999999998
1,0.325,0.085,0.1298975,0.0389773426973928,"{'avance_balon': -9.71789415847725, 'min_dist_balon_jug': -3.3142722845623567, 'max_dist_balon_jug': 30.50235188003103, 'min_dist_balon_op': 20.122963403316398, 'max_dist_balon_op': -5.890098074242513, 'max_avance_jug': 0.6969386734400871, 'min_avance_jug': -2.4467321636380177, 'max_avance_op': 29.51227092915468, 'min_avance_op': 49.86461427679514, 'muy_cerca_borde_jug': -30.12865499363684, 'muy_cerca_borde_op': 39.74879700446429, 'mas_cerca_balon': 12.83587210886067, 'casilla_neutra': -39.72241944528186, 'muy_cerca_jug': -6.171853810180153, 'muy_lejos_jug': 35.70278387204357, 'muy_cerca_op': 3.621823971260831, 'muy_lejos_op': -11.45020305834187}",0.04500000000000004,0.04500000000000004,0.24
2,0.325,0.0825,0.138535,0.04448852408205963,"{'avance_balon': 15.389586888946102, 'min_dist_balon_jug': 31.141739482783933, 'max_dist_balon_jug': -32.633687267706534, 'min_dist_balon_op': -36.86710303912858, 'max_dist_balon_op': 22.616448517142434, 'max_avance_jug': 33.751278920781346, 'min_avance_jug': 33.297824698643524, 'max_avance_op': -40.173129516163826, 'min_avance_op': 35.96455471124952, 'muy_cerca_borde_jug': -30.485264386281564, 'muy_cerca_borde_op': 34.658437656370054, 'mas_cerca_balon': 4.400273598484105, 'casilla_neutra': 5.976211890783077, 'muy_cerca_jug': 23.81876758794469, 'muy_lejos_jug': -11.889419984603641, 'muy_cerca_op': 33.90693422994744, 'muy_lejos_op': -3.771498242941435}",0.0,0.04500000000000004,0.2425
3,0.39249999999999996,0.08,0.15178500000000003,0.0528036577804985,"{'avance_balon': -1.9427968945613614, 'min_dist_balon_jug': 2.5828363350267987, 'max_dist_balon_jug': -8.61530711738374, 'min_dist_balon_op': 45.71397803563297, 'max_dist_balon_op': -30.449518559030153, 'max_avance_jug': 44.98061651495193, 'min_avance_jug': 36.68389552841691, 'max_avance_op': 36.28627603939147, 'min_avance_op': 35.771259711455144, 'muy_cerca_borde_jug': 1.4762507359838182, 'muy_cerca_borde_op': -14.919657703159729, 'mas_cerca_balon': 30.350136310317563, 'casilla_neutra': -48.13911488639663, 'muy_cerca_jug': 35.75702103423108, 'muy_lejos_jug': 19.537674688235978, 'muy_cerca_op': 38.454355978668474, 'muy_lejos_op': 26.22463124439285}",0.06749999999999995,0.11249999999999999,0.31249999999999994
4,0.3875,0.075,0.16541500000000003,0.062242592129505656,"{'avance_balon': 12.599785104114893, 'min_dist_balon_jug': -32.47250991057243, 'max_dist_balon_jug': 2.150027174243938, 'min_dist_balon_op': -15.138501717824816, 'max_dist_balon_op': 30.661840877041854, 'max_avance_jug': 0.79583451380676, 'min_avance_jug': 16.911381250812767, 'max_avance_op': -25.37696633463572, 'min_avance_op': 1.8345151147148329, 'muy_cerca_borde_jug': 9.533042259360899, 'muy_cerca_borde_op': -34.8534018231788, 'mas_cerca_balon': 40.775763173390736, 'casilla_neutra': -40.15993611586018, 'muy_cerca_jug': -26.355616162178265, 'muy_lejos_jug': -34.2993182681024, 'muy_cerca_op': 35.87785825571891, 'muy_lejos_op': 30.223775086460847}",-0.004999999999999949,0.10750000000000004,0.3125
5,0.445,0.075,0.191195,0.07697156601628942,"{'avance_balon': 1.195442083690852, 'min_dist_balon_jug': -10.784804923312638, 'max_dist_balon_jug': -2.1847114978583804, 'min_dist_balon_op': 4.388073353057173, 'max_dist_balon_op': 1.5885303875201915, 'max_avance_jug': -6.102380846118635, 'min_avance_jug': -28.91020209016899, 'max_avance_op': -35.742496758545784, 'min_avance_op': -12.252020239052937, 'muy_cerca_borde_jug': -6.926451255541364, 'muy_cerca_borde_op': 43.38378310787836, 'mas_cerca_balon': 44.659944314133476, 'casilla_neutra': -28.801089650641824, 'muy_cerca_jug': 23.812633431617954, 'muy_lejos_jug': -30.717014194674828, 'muy_cerca_op': 28.187183756843567, 'muy_lejos_op': -8.278901590677123}",0.057499999999999996,0.16500000000000004,0.37
6,0.475,0.07,0.24402500000000005,0.09983179290686911,"{'avance_balon': -6.185054769766282, 'min_dist_balon_jug': -39.99977035383168, 'max_dist_balon_jug': -10.57409928127456, 'min_dist_balon_op': 21.401129832543514, 'max_dist_balon_op': -19.625383445426987, 'max_avance_jug': 4.866236454732162, 'min_avance_jug': -5.49951530679436, 'max_avance_op': -43.208538598278324, 'min_avance_op': 11.017826592102324, 'muy_cerca_borde_jug': -38.53060141707326, 'muy_cerca_borde_op': -9.597210423819691, 'mas_cerca_balon': 15.773223679476649, 'casilla_neutra': 27.98938770348363, 'muy_cerca_jug': 40.65851698715444, 'muy_lejos_jug': -41.74797881751191, 'muy_cerca_op': -9.70401703644773, 'muy_lejos_op': 21.86679580113433}",0.02999999999999997,0.195,0.40499999999999997
7,0.5275000000000001,0.0675,0.2968825,0.10574107500753904,"{'avance_balon': 3.263192809792507, 'min_dist_balon_jug': -26.27701023696782, 'max_dist_balon_jug': -10.995484563097639, 'min_dist_balon_op': -40.83050240054246, 'max_dist_balon_op': -14.138860518138484, 'max_avance_jug': 26.715894213828406, 'min_avance_jug': 5.053206604180627, 'max_avance_op': -36.06697724178034, 'min_avance_op': -19.243804660129644, 'muy_cerca_borde_jug': -49.62544723096632, 'muy_cerca_borde_op': 24.48305122600339, 'mas_cerca_balon': 44.628404527327945, 'casilla_neutra': -29.610644096950608, 'muy_cerca_jug': -1.6560039301292377, 'muy_lejos_jug': -47.459336743360936, 'muy_cerca_op': 0.34684912275293023, 'muy_lejos_op': -26.19173496430082}",0.0525000000000001,0.2475000000000001,0.4600000000000001
8,0.52,0.0625,0.32254,0.1092080509852639,"{'avance_balon': -12.19087265397436, 'min_dist_balon_jug': -37.56576539765807, 'max_dist_balon_jug': -2.1847114978583804, 'min_dist_balon_op': 17.186175374059346, 'max_dist_balon_op': -20.83514004577696, 'max_avance_jug': 32.51032571445442, 'min_avance_jug': -10.106466057938665, 'max_avance_op': -8.716830369159247, 'min_avance_op': 32.98446998591963, 'muy_cerca_borde_jug': -30.11829230976482, 'muy_cerca_borde_op': -50.0, 'mas_cerca_balon': 39.146179310657345, 'casilla_neutra': -9.668651123785144, 'muy_cerca_jug': 23.958238580418083, 'muy_lejos_jug': -16.216647775311024, 'muy_cerca_op': 28.583848351784162, 'muy_lejos_op': 17.224152770697245}",-0.007500000000000062,0.24000000000000005,0.4575
9,0.5349999999999999,0.0625,0.34906000000000004,0.11357889944879726,"{'avance_balon': 0.571184810245237, 'min_dist_balon_jug': -14.562178151191159, 'max_dist_balon_jug': 30.251298644950115, 'min_dist_balon_op': 28.891528825777726, 'max_dist_balon_op': 33.6575721713428, 'max_avance_jug': 9.731996032258486, 'min_avance_jug': -43.53843880750389, 'max_avance_op': -39.394513001530626, 'min_avance_op': -23.234749710018523, 'muy_cerca_borde_jug': -31.37842095434311, 'muy_cerca_borde_op': 37.26939546905935, 'mas_cerca_balon': 39.79283046936834, 'casilla_neutra': -1.4499905359841903, 'muy_cerca_jug': 1.6004549550917204, 'muy_lejos_jug': -33.249947961115886, 'muy_cerca_op': -18.625957446234192, 'muy_lejos_op': 2.1111530382502153}",0.014999999999999902,0.25499999999999995,0.4724999999999999
