generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.3,0.09,0.1148325,0.029434303011112734,"{'avance_balon': 14.757193408715409, 'dist_balon_jug': 18.297964913369995, 'dist_balon_op': 27.266638173539263, 'avance_jug': -18.722650463173697, 'avance_op': 11.48799497658267, 'dist_col_balon_jug': 19.215093634570906, 'dist_col_balon_op': 10.399510178468176, 'mas_cerca_balon': -40.71487324004218}",,0.0,0.21
1,0.325,0.08,0.12547000000000003,0.04244619064179964,"{'avance_balon': 26.015814145106276, 'dist_balon_jug': 25.574604713624694, 'dist_balon_op': 26.342973391895995, 'avance_jug': 0.32326043055934406, 'avance_op': 47.97283446945171, 'dist_col_balon_jug': 31.015776029953827, 'dist_col_balon_op': -10.739151525112987, 'mas_cerca_balon': 2.3211856869688314}",0.025000000000000022,0.025000000000000022,0.245
2,0.355,0.08,0.13642500000000002,0.053377494086927685,"{'avance_balon': 9.069153810089716, 'dist_balon_jug': -16.95025850933174, 'dist_balon_op': 32.690809834133375, 'avance_jug': -44.33658674952136, 'avance_op': -28.058751493127524, 'dist_col_balon_jug': 8.830445271024722, 'dist_col_balon_op': -38.51801551034627, 'mas_cerca_balon': -44.60543879793589}",0.02999999999999997,0.05499999999999999,0.27499999999999997
3,0.42000000000000004,0.0675,0.16791250000000002,0.07916319279658951,"{'avance_balon': 4.96398875110706, 'dist_balon_jug': 26.46813812041006, 'dist_balon_op': 45.21268659363227, 'avance_jug': 22.429459125710558, 'avance_op': 37.19866507239019, 'dist_col_balon_jug': -0.22346533298566484, 'dist_col_balon_op': -1.1495034308476875, 'mas_cerca_balon': -34.23692848662445}",0.06500000000000006,0.12000000000000005,0.35250000000000004
4,0.4925,0.065,0.21576250000000002,0.10517479424153868,"{'avance_balon': 4.96398875110706, 'dist_balon_jug': 26.46813812041006, 'dist_balon_op': 45.21268659363227, 'avance_jug': 22.429459125710558, 'avance_op': 37.19866507239019, 'dist_col_balon_jug': -0.22346533298566484, 'dist_col_balon_op': -1.1495034308476875, 'mas_cerca_balon': -34.23692848662445}",0.07249999999999995,0.1925,0.4275
5,0.5675,0.0625,0.29682,0.12439016279433032,"{'avance_balon': 27.030968266288397, 'dist_balon_jug': 18.941454877753095, 'dist_balon_op': 24.20994471079247, 'avance_jug': 9.742605387132912, 'avance_op': 46.496805980409235, 'dist_col_balon_jug': -0.8706675034470202, 'dist_col_balon_op': -13.894783259487024, 'mas_cerca_balon': -41.004705470128364}",0.07500000000000001,0.2675,0.505
6,0.52,0.05500000000000001,0.328175,0.1201570092628807,"{'avance_balon': 26.06128175310619, 'dist_balon_jug': 26.729836287320484, 'dist_balon_op': -18.991116355403705, 'avance_jug': -25.407757145887842, 'avance_op': 15.135292645436309, 'dist_col_balon_jug': -17.935364114132575, 'dist_col_balon_op': -0.006584788904101302, 'mas_cerca_balon': -47.04742078290043}",-0.04749999999999999,0.22000000000000003,0.465
7,0.545,0.05500000000000001,0.34405,0.12075392333170795,"{'avance_balon': 29.469526413685074, 'dist_balon_jug': 41.00183102200579, 'dist_balon_op': 23.371144138079146, 'avance_jug': -15.77783238257875, 'avance_op': 38.39313025163345, 'dist_col_balon_jug': 15.416994335807937, 'dist_col_balon_op': -35.21162428627704, 'mas_cerca_balon': -16.30820677414647}",0.025000000000000022,0.24500000000000005,0.49000000000000005
8,0.55,0.05500000000000001,0.3495775,0.12186981883858694,"{'avance_balon': 31.282297530827986, 'dist_balon_jug': 26.436169921306778, 'dist_balon_op': 14.91541852087053, 'avance_jug': -16.285479641102828, 'avance_op': 45.288790777360674, 'dist_col_balon_jug': 19.215093634570906, 'dist_col_balon_op': -41.897379326382534, 'mas_cerca_balon': -17.269045287103882}",0.0050000000000000044,0.25000000000000006,0.49500000000000005
9,0.5375,0.05750000000000001,0.367185,0.11717951303448909,"{'avance_balon': 43.70545697248417, 'dist_balon_jug': 9.052370459584374, 'dist_balon_op': -4.549192101401822, 'avance_jug': -50.0, 'avance_op': 44.83966700715392, 'dist_col_balon_jug': 6.485959966313785, 'dist_col_balon_op': -47.95567623980884, 'mas_cerca_balon': -41.63107479674684}",-0.012500000000000067,0.2375,0.48
