Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level3_run2_vs_Agent depth2_level3_run1,Agent depth1_level3_run2,Agent depth2_level3_run1,LEFT,RIGHT,draw,0.0,100,50,50,15.48,0.54,14.89,0.011,0.298,0.026,0.381,max_moves,"(0, 0)"
Agent depth1_level3_run2_vs_Agent depth2_level3_run1,Agent depth1_level3_run2,Agent depth2_level3_run1,RIGHT,LEFT,draw,0.0,100,46,54,6.21,0.34,5.80,0.007,0.107,0.022,0.314,max_moves,"(0, 0)"
Agent depth1_level3_run2_vs_Agent depth3_level3_run1,Agent depth1_level3_run2,Agent depth3_level3_run1,LEFT,RIGHT,draw,0.0,100,50,50,229.29,0.53,228.69,0.011,4.574,0.026,17.218,max_moves,"(0, 0)"
Agent depth1_level3_run2_vs_Agent depth3_level3_run1,Agent depth1_level3_run2,Agent depth3_level3_run1,RIGHT,LEFT,draw,0.0,100,32,68,104.51,0.25,104.23,0.008,1.533,0.024,15.096,max_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent depth3_level3_run1,Agent depth2_level3_run1,Agent depth3_level3_run1,LEFT,RIGHT,draw,0.0,100,54,46,107.16,3.50,103.63,0.065,2.253,0.303,21.728,max_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent depth3_level3_run1,Agent depth2_level3_run1,Agent depth3_level3_run1,RIGHT,LEFT,agent2,-1.0,43,20,23,215.60,4.92,210.68,0.246,9.160,0.397,15.660,goal,"(0, 0)"
