Agent_Name,Level,Minimax_Depth,Weight_Source,Fitness_Score,Generation,Total_Games,Wins,Losses,Draws,Score,Win_Rate,Score_Rate,Wins_as_LEFT,Wins_as_RIGHT,LEFT_Win_Rate,RIGHT_Win_Rate,Color_Advantage,Avg_Move_Time,Total_Thinking_Time,Move_Time_Std
Agent depth1_level2_run2,2,1,unknown,0.5475,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0012,0.8753,0.0004
Agent AlbertoBestAgent,2,1,unknown,,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0015,0.9637,0.0007
Agent AlbertoAvg,2,1,unknown,,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0014,0.9421,0.0006
Agent depth2_level2_run1,2,2,unknown,0.6174999999999999,,8,0,1,7,3.5,0.000,0.438,0,0,0.000,0.000,0.000,0.0133,8.6645,0.0061
Agent depth3_level2_run1,2,3,unknown,0.8,,8,4,0,4,6.0,0.500,0.750,4,0,1.000,0.000,1.000,0.2214,90.9094,0.0922
