Agent1,Agent2,Agent1_Score,Agent2_Score,Agent1_Wins,Agent2_Wins,Draws,Agent1_Wins_as_LEFT,Agent1_Wins_as_RIGHT,Agent2_Wins_as_LEFT,Agent2_Wins_as_RIGHT,Agent1_Win_Rate,Agent2_Win_Rate,Agent1_LEFT_Win_Rate,Agent1_RIGHT_Win_Rate,Agent1_Avg_Move_Time,Agent2_Avg_Move_Time,Speed_Advantage_Agent1,Match_Duration
Agent depth1_level2_run2,Agent depth2_level2_run1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0011,0.0092,0.008,2.11225
Agent depth1_level2_run2,Agent depth3_level2_run1,0.5,1.5,0,1,1,0,0,1,0,0.000,0.500,0.000,0.000,0.0009,0.2008,0.200,12.41044
Agent depth1_level2_run2,Agent AlbertoBestAgent,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0014,0.0012,-0.000,0.55064
Agent depth1_level2_run2,Agent AlbertoAvg,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0013,0.0017,0.000,0.66178
Agent depth2_level2_run1,Agent depth3_level2_run1,0.5,1.5,0,1,1,0,0,1,0,0.000,0.500,0.000,0.000,0.0183,0.1852,0.167,21.93186
Agent depth2_level2_run1,Agent AlbertoBestAgent,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0135,0.0017,-0.012,3.07994
Agent depth2_level2_run1,Agent AlbertoAvg,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0123,0.0010,-0.011,2.70758
Agent depth3_level2_run1,Agent AlbertoBestAgent,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.2553,0.0017,-0.254,26.38557
Agent depth3_level2_run1,Agent AlbertoAvg,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.2443,0.0014,-0.243,32.34050
Agent AlbertoBestAgent,Agent AlbertoAvg,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0014,0.0014,0.000,0.58539
