Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level1_run2_vs_Agent depth2_level1_run2,Agent depth1_level1_run2,Agent depth2_level1_run2,LEFT,RIGHT,draw,0.0,200,101,99,0.34,0.02,0.30,0.000,0.003,0.002,0.015,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth2_level1_run2,Agent depth1_level1_run2,Agent depth2_level1_run2,RIGHT,LEFT,agent2,-1.0,8,3,5,0.04,0.00,0.04,0.001,0.008,0.003,0.012,goal,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth3_level1_run1,Agent depth1_level1_run2,Agent depth3_level1_run1,LEFT,RIGHT,agent2,-1.0,10,4,6,0.29,0.01,0.28,0.001,0.047,0.002,0.102,goal,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth3_level1_run1,Agent depth1_level1_run2,Agent depth3_level1_run1,RIGHT,LEFT,draw,0.0,200,67,133,5.57,0.02,5.54,0.000,0.042,0.007,0.087,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,LEFT,RIGHT,draw,0.0,200,101,99,0.10,0.02,0.07,0.000,0.001,0.007,0.016,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,RIGHT,LEFT,draw,0.0,200,100,100,0.12,0.06,0.05,0.001,0.001,0.016,0.016,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,LEFT,RIGHT,draw,0.0,200,101,99,0.10,0.02,0.07,0.000,0.001,0.016,0.016,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,RIGHT,LEFT,draw,0.0,200,99,101,0.10,0.07,0.03,0.001,0.000,0.016,0.016,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent depth3_level1_run1,Agent depth2_level1_run2,Agent depth3_level1_run1,LEFT,RIGHT,draw,0.0,200,101,99,2.72,0.40,2.31,0.004,0.023,0.019,0.068,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent depth3_level1_run1,Agent depth2_level1_run2,Agent depth3_level1_run1,RIGHT,LEFT,draw,0.0,200,69,131,4.64,0.31,4.32,0.004,0.033,0.019,0.080,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth2_level1_run2,Agent Alberto_Best_Agent_D1_L1,LEFT,RIGHT,agent1,1.0,11,7,4,0.06,0.06,0.00,0.008,0.000,0.014,0.000,goal,"(0, 0)"
