generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.21250000000000002,0.08750000000000001,0.12,0.04650268809434569,"{'avance_balon': 18.351254236416665, 'dist_balon_jug_1': -38.52071481881606, 'dist_balon_jug_2': 47.38366104926189, 'dist_balon_jug_3': 24.58287134850623, 'dist_balon_op_1': -47.96773546954832, 'dist_balon_op_2': -2.696766512784478, 'dist_balon_op_3': 19.00754424446339, 'avance_jug_1': 8.18013266532899, 'avance_jug_2': 12.372067605276058, 'avance_jug_3': -44.951915202915494, 'avance_op_1': 27.030201724052148, 'avance_op_2': 47.296007923175495, 'avance_op_3': 0.33767139984318817, 'muy_cerca_borde_jug': -44.01037194607452, 'muy_cerca_borde_op': -13.883928825781624, 'arq_en_area_jug': -21.665945081627356, 'arq_en_area_op': -42.27273097575988, 'mas_cerca_balon': 5.1115322024278385, 'casilla_neutra': -44.9198655667574, 'casilla_especial': -49.137971052425364, 'muy_cerca_jug': 36.02218345818753, 'muy_lejos_jug': -32.20400051525951, 'muy_cerca_op': -41.104262401830184, 'muy_lejos_op': 47.1090440515016}",,0.0,0.125
1,0.4125,0.08750000000000001,0.2,0.14053469322555195,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -17.83796837205559, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -8.429827971374635, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 48.32726099134922, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",0.19999999999999996,0.19999999999999996,0.32499999999999996
2,0.4375,0.08750000000000001,0.16,0.1388344337691482,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -17.83796837205559, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -8.429827971374635, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 48.32726099134922, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",0.025000000000000022,0.22499999999999998,0.35
3,0.325,0.1625,0.24000000000000005,0.07132671308843552,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -17.83796837205559, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -8.429827971374635, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 48.32726099134922, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",-0.11249999999999999,0.11249999999999999,0.1625
4,0.1,0.1,0.1,0.0,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -17.83796837205559, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -8.429827971374635, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 48.32726099134922, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",-0.225,-0.11250000000000002,0.0
5,0.325,0.0625,0.18,0.09239859306288165,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -17.83796837205559, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -8.429827971374635, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 48.32726099134922, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",0.225,0.11249999999999999,0.2625
6,0.325,0.05,0.20000000000000004,0.0876783895837509,"{'avance_balon': -40.43980472221812, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 16.64567075283602, 'dist_balon_jug_3': 23.68236882720028, 'dist_balon_op_1': -16.86589219052753, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': 12.612874544514852, 'avance_jug_1': -14.857542579436586, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 18.82407293791886, 'avance_op_1': 24.0329743965504, 'avance_op_2': -25.59113873384009, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -9.525404325435897, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -9.276870534456915, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 40.33666228866891, 'muy_lejos_jug': 41.94190674448739, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': 3.4722522335613872}",0.0,0.11249999999999999,0.275
7,0.325,0.1625,0.24000000000000005,0.07132671308843552,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -22.03391137966826, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -9.48806181480832, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -9.276870534456915, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 41.94190674448739, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",0.0,0.11249999999999999,0.1625
8,0.1,0.1,0.1,0.0,"{'avance_balon': -38.62574311722523, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': -21.81636562197977, 'dist_balon_op_1': -14.186017003319627, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': -31.077262051497023, 'avance_jug_1': -22.03391137966826, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 24.0329743965504, 'avance_op_2': 8.511668799346062, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -9.48806181480832, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -9.276870534456915, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 38.55951684326047, 'muy_lejos_jug': 41.94190674448739, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': -2.2877026150489783}",-0.225,-0.11250000000000002,0.0
9,0.325,0.08750000000000001,0.14,0.0926687649642532,"{'avance_balon': -40.43980472221812, 'dist_balon_jug_1': 34.54944685223805, 'dist_balon_jug_2': 8.895938957090664, 'dist_balon_jug_3': 23.68236882720028, 'dist_balon_op_1': -16.86589219052753, 'dist_balon_op_2': 10.923469125054236, 'dist_balon_op_3': 12.612874544514852, 'avance_jug_1': -22.03391137966826, 'avance_jug_2': -27.756782328155282, 'avance_jug_3': 22.89747359386635, 'avance_op_1': 27.220931819112362, 'avance_op_2': -25.59113873384009, 'avance_op_3': 27.086169576533635, 'muy_cerca_borde_jug': 20.61632049555911, 'muy_cerca_borde_op': -44.468169112790136, 'arq_en_area_jug': -9.48806181480832, 'arq_en_area_op': -6.936419957947649, 'mas_cerca_balon': -12.863160845723662, 'casilla_neutra': -26.16063205810536, 'casilla_especial': 49.86613666690319, 'muy_cerca_jug': 40.33666228866891, 'muy_lejos_jug': 45.10919134743628, 'muy_cerca_op': 26.49294326067063, 'muy_lejos_op': 8.48560140543887}",0.225,0.11249999999999999,0.2375
