generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.27999999999999997,0.0875,0.10550333333333332,0.01769124045647701,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 22.5041008567852, 'dist_balon_op': -34.36767729956133, 'avance_jug': -40.73868573141682, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -16.074609791360693, 'mas_cerca_balon': 47.868556709858794}",,0.0,0.19249999999999998
1,0.27999999999999997,0.0875,0.10707666666666667,0.020795330939633757,"{'avance_balon': 16.64355622793336, 'dist_balon_jug': 23.84370387195412, 'dist_balon_op': -6.882530180003656, 'avance_jug': 35.85435090945231, 'avance_op': -45.687297354278996, 'dist_col_balon_jug': -0.6436446571619996, 'dist_col_balon_op': 39.54343029499141, 'mas_cerca_balon': 8.053533269511327}",0.0,0.0,0.19249999999999998
2,0.37,0.0875,0.10905166666666666,0.02384543626263851,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 24.29618509974266, 'dist_balon_op': -31.662069832444207, 'avance_jug': -38.33964727979644, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -16.074609791360693, 'mas_cerca_balon': 47.868556709858794}",0.09000000000000002,0.09000000000000002,0.2825
3,0.3,0.0875,0.11006333333333333,0.026106595377839336,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 22.5041008567852, 'dist_balon_op': -34.36767729956133, 'avance_jug': -40.73868573141682, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -16.074609791360693, 'mas_cerca_balon': 47.868556709858794}",-0.07,0.020000000000000018,0.2125
4,0.3025,0.0875,0.11144500000000002,0.027396310122593765,"{'avance_balon': -0.7087502268709847, 'dist_balon_jug': -5.956986050315571, 'dist_balon_op': 33.29935326276207, 'avance_jug': -41.37486382984416, 'avance_op': 11.405972212252593, 'dist_col_balon_jug': 27.834776976300812, 'dist_col_balon_op': -35.12506550382902, 'mas_cerca_balon': 1.58523708873952}",0.0025000000000000022,0.02250000000000002,0.215
5,0.3025,0.08,0.113005,0.028466778444355096,"{'avance_balon': -0.7087502268709847, 'dist_balon_jug': -5.956986050315571, 'dist_balon_op': 33.29935326276207, 'avance_jug': -41.37486382984416, 'avance_op': 11.405972212252593, 'dist_col_balon_jug': 27.834776976300812, 'dist_col_balon_op': -35.12506550382902, 'mas_cerca_balon': 1.58523708873952}",0.0,0.02250000000000002,0.22249999999999998
6,0.2975,0.085,0.11367333333333335,0.028972514944723426,"{'avance_balon': 27.771901678910787, 'dist_balon_jug': -17.431136869039115, 'dist_balon_op': 32.88735251230905, 'avance_jug': 32.83937663805348, 'avance_op': 28.948491325896413, 'dist_col_balon_jug': -9.420853067331093, 'dist_col_balon_op': -29.558208751492856, 'mas_cerca_balon': 26.09143426502693}",-0.0050000000000000044,0.017500000000000016,0.21249999999999997
7,0.34750000000000003,0.085,0.11334500000000002,0.0280068171760615,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 24.29618509974266, 'dist_balon_op': -31.662069832444207, 'avance_jug': -38.33964727979644, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -16.074609791360693, 'mas_cerca_balon': 47.868556709858794}",0.050000000000000044,0.06750000000000006,0.2625
8,0.3,0.085,0.11587,0.03183265775897451,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 24.29618509974266, 'dist_balon_op': -31.662069832444207, 'avance_jug': -38.33964727979644, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -16.074609791360693, 'mas_cerca_balon': 47.868556709858794}",-0.04750000000000004,0.020000000000000018,0.21499999999999997
9,0.34750000000000003,0.0825,0.11652333333333335,0.03284833007762934,"{'avance_balon': -6.537647235477182, 'dist_balon_jug': -1.118598924091465, 'dist_balon_op': -2.697890902167501, 'avance_jug': -3.850653274931826, 'avance_op': 24.43465587129495, 'dist_col_balon_jug': 37.74356046756474, 'dist_col_balon_op': 1.8989669825986795, 'mas_cerca_balon': 13.831111987520304}",0.04750000000000004,0.06750000000000006,0.265
10,0.34750000000000003,0.085,0.11696166666666669,0.03688085814107668,"{'avance_balon': -2.9255220227000365, 'dist_balon_jug': 24.29618509974266, 'dist_balon_op': -31.662069832444207, 'avance_jug': -38.33964727979644, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 37.920007394829256, 'dist_col_balon_op': -15.59686051443307, 'mas_cerca_balon': 47.868556709858794}",0.0,0.06750000000000006,0.2625
11,0.3,0.08,0.11765166666666668,0.03532076108875472,"{'avance_balon': -6.1270432747365575, 'dist_balon_jug': 30.8780291395981, 'dist_balon_op': -34.36767729956133, 'avance_jug': -38.33964727979644, 'avance_op': 2.4767125648038615, 'dist_col_balon_jug': 36.86532633472268, 'dist_col_balon_op': -9.072286309426577, 'mas_cerca_balon': 50.0}",-0.04750000000000004,0.020000000000000018,0.21999999999999997
12,0.34750000000000003,0.085,0.11744833333333335,0.03501549414981253,"{'avance_balon': 25.21134046287973, 'dist_balon_jug': -6.451679694413492, 'dist_balon_op': 32.747587932409544, 'avance_jug': 26.937387983287152, 'avance_op': -24.22570362290645, 'dist_col_balon_jug': 24.943819682606975, 'dist_col_balon_op': -2.5560130259714957, 'mas_cerca_balon': 29.283412252295005}",0.04750000000000004,0.06750000000000006,0.2625
13,0.34750000000000003,0.08,0.11690666666666667,0.03468089707925996,"{'avance_balon': 28.04149693972004, 'dist_balon_jug': -21.930244220612874, 'dist_balon_op': 32.88735251230905, 'avance_jug': 32.83937663805348, 'avance_op': -46.06495343439633, 'dist_col_balon_jug': -9.420853067331093, 'dist_col_balon_op': -29.558208751492856, 'mas_cerca_balon': 26.09143426502693}",0.0,0.06750000000000006,0.2675
14,0.37,0.0825,0.11679833333333332,0.034593884294128574,"{'avance_balon': 28.04149693972004, 'dist_balon_jug': -21.930244220612874, 'dist_balon_op': 32.88735251230905, 'avance_jug': 32.83937663805348, 'avance_op': -46.06495343439633, 'dist_col_balon_jug': -9.420853067331093, 'dist_col_balon_op': -29.558208751492856, 'mas_cerca_balon': 26.09143426502693}",0.022499999999999964,0.09000000000000002,0.2875
