Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level1_run2_vs_Agent depth2_level1_run2,Agent depth1_level1_run2,Agent depth2_level1_run2,LEFT,RIGHT,draw,0.0,200,101,99,0.33,0.04966,0.25689,0.00049,0.00259,0.01607,0.02387,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth2_level1_run2,Agent depth1_level1_run2,Agent depth2_level1_run2,RIGHT,LEFT,agent2,-1.0,8,3,5,0.03,0.00100,0.03289,0.00033,0.00658,0.00100,0.01636,goal,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth3_level1_run1,Agent depth1_level1_run2,Agent depth3_level1_run1,LEFT,RIGHT,agent2,-1.0,10,4,6,0.26,0.00000,0.24475,0.00000,0.04079,0.00000,0.08903,goal,"(0, 0)"
Agent depth1_level1_run2_vs_Agent depth3_level1_run1,Agent depth1_level1_run2,Agent depth3_level1_run1,RIGHT,LEFT,draw,0.0,200,67,133,5.42,0.03146,5.38465,0.00047,0.04049,0.01589,0.07083,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,LEFT,RIGHT,draw,0.0,200,101,99,0.13,0.03174,0.07852,0.00031,0.00079,0.00590,0.00354,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,RIGHT,LEFT,draw,0.0,200,100,100,0.15,0.07818,0.04987,0.00078,0.00050,0.00431,0.00234,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,LEFT,RIGHT,draw,0.0,200,101,99,0.10,0.02225,0.05322,0.00022,0.00054,0.00601,0.01581,max_moves,"(0, 0)"
Agent depth1_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,RIGHT,LEFT,draw,0.0,200,99,101,0.13,0.07666,0.04789,0.00077,0.00047,0.00721,0.01341,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent depth3_level1_run1,Agent depth2_level1_run2,Agent depth3_level1_run1,LEFT,RIGHT,draw,0.0,200,101,99,2.85,0.42471,2.37202,0.00421,0.02396,0.01803,0.06529,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent depth3_level1_run1,Agent depth2_level1_run2,Agent depth3_level1_run1,RIGHT,LEFT,draw,0.0,200,69,131,4.79,0.33511,4.42687,0.00486,0.03379,0.01798,0.08755,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth2_level1_run2,Agent Alberto_Best_Agent_D1_L1,LEFT,RIGHT,agent1,1.0,11,7,4,0.05,0.05304,0.00079,0.00758,0.00020,0.01162,0.00079,goal,"(0, 0)"
Agent depth2_level1_run2_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth2_level1_run2,Agent Alberto_Best_Agent_D1_L1,RIGHT,LEFT,draw,0.0,200,100,100,0.44,0.41266,0.02451,0.00413,0.00025,0.01991,0.01598,max_moves,"(0, 0)"
Agent depth2_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth2_level1_run2,Agent Alberto_10_Avg_D1_L1,LEFT,RIGHT,agent1,1.0,11,7,4,0.06,0.05400,0.00210,0.00771,0.00052,0.01183,0.00100,goal,"(0, 0)"
Agent depth2_level1_run2_vs_Agent Alberto_10_Avg_D1_L1,Agent depth2_level1_run2,Agent Alberto_10_Avg_D1_L1,RIGHT,LEFT,draw,0.0,200,99,101,0.21,0.14793,0.05609,0.00149,0.00056,0.01612,0.01614,max_moves,"(0, 0)"
Agent depth3_level1_run1_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth3_level1_run1,Agent Alberto_Best_Agent_D1_L1,LEFT,RIGHT,draw,0.0,200,133,67,5.55,5.41210,0.10960,0.04069,0.00164,0.07253,0.01619,max_moves,"(0, 0)"
Agent depth3_level1_run1_vs_Agent Alberto_Best_Agent_D1_L1,Agent depth3_level1_run1,Agent Alberto_Best_Agent_D1_L1,RIGHT,LEFT,agent1,1.0,9,6,3,0.24,0.24482,0.00000,0.04080,0.00000,0.06877,0.00000,goal,"(0, 0)"
Agent depth3_level1_run1_vs_Agent Alberto_10_Avg_D1_L1,Agent depth3_level1_run1,Agent Alberto_10_Avg_D1_L1,LEFT,RIGHT,draw,0.0,200,133,67,5.43,5.38032,0.02965,0.04045,0.00044,0.07767,0.01579,max_moves,"(0, 0)"
Agent depth3_level1_run1_vs_Agent Alberto_10_Avg_D1_L1,Agent depth3_level1_run1,Agent Alberto_10_Avg_D1_L1,RIGHT,LEFT,agent1,1.0,10,6,4,0.27,0.25463,0.00000,0.04244,0.00000,0.08853,0.00000,goal,"(0, 0)"
Agent Alberto_Best_Agent_D1_L1_vs_Agent Alberto_10_Avg_D1_L1,Agent Alberto_Best_Agent_D1_L1,Agent Alberto_10_Avg_D1_L1,LEFT,RIGHT,draw,0.0,200,100,100,0.16,0.07220,0.05033,0.00072,0.00050,0.01712,0.01611,max_moves,"(0, 0)"
Agent Alberto_Best_Agent_D1_L1_vs_Agent Alberto_10_Avg_D1_L1,Agent Alberto_Best_Agent_D1_L1,Agent Alberto_10_Avg_D1_L1,RIGHT,LEFT,draw,0.0,200,99,101,0.11,0.05977,0.03046,0.00060,0.00030,0.01607,0.01595,max_moves,"(0, 0)"
