Agent_Name,Level,Minimax_Depth,Weight_Source,Fitness_Score,Generation,Total_Games,Wins,Losses,Draws,Score,Win_Rate,Score_Rate,Wins_as_LEFT,Wins_as_RIGHT,LEFT_Win_Rate,RIGHT_Win_Rate,Color_Advantage,Avg_Move_Time,Total_Thinking_Time,Move_Time_Std
Agent depth2_level1_run2,1,2,unknown,0.55,,8,3,0,5,5.5,0.375,0.688,3,0,0.750,0.000,0.750,0.0049,1.7172,0.0021
Agent depth3_level1_run1,1,3,unknown,0.55,,8,3,0,5,5.5,0.375,0.688,0,3,0.000,0.750,-0.750,0.0379,23.7202,0.0058
Agent depth1_level1_run2,1,1,unknown,0.5275000000000001,,8,0,2,6,3.0,0.000,0.375,0,0,0.000,0.000,0.000,0.0004,0.2910,0.0002
Agent Alberto_Best_Agent_D1_L1,1,1,baseline,,,8,0,2,6,3.0,0.000,0.375,0,0,0.000,0.000,0.000,0.0006,0.3953,0.0005
Agent Alberto_10_Avg_D1_L1,1,1,unknown,,,8,0,2,6,3.0,0.000,0.375,0,0,0.000,0.000,0.000,0.0004,0.2697,0.0002
