generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.34750000000000003,0.085,0.12304000000000002,0.0318576270302733,"{'avance_balon': 5.568078057589034, 'dist_balon_jug_1': 1.2310883010629468, 'dist_balon_jug_2': 4.633827893138253, 'dist_balon_jug_3': -2.9747030734785795, 'dist_balon_op_1': 30.630984983919546, 'dist_balon_op_2': 29.275802935919955, 'dist_balon_op_3': -13.171283993532292, 'avance_jug_1': 18.494473279207853, 'avance_jug_2': -15.314556803650134, 'avance_jug_3': -14.780246546963227, 'avance_op_1': -35.145226471944554, 'avance_op_2': -47.50593856712529, 'avance_op_3': -42.364891061184565, 'muy_cerca_borde_jug': 9.37802224987562, 'muy_cerca_borde_op': 11.763424271983581, 'arq_en_area_jug': 3.5197142245676716, 'arq_en_area_op': 15.67138841706587, 'mas_cerca_balon': 48.93555066780975, 'casilla_neutra': -11.098440259614897, 'casilla_especial': 14.864248798053936, 'muy_cerca_jug': 18.439921083384704, 'muy_lejos_jug': 8.127818500813476, 'muy_cerca_op': 38.120946074152755, 'muy_lejos_op': 18.008191042817685}",,0.0,0.2625
1,0.3175,0.0825,0.12763000000000002,0.03569114876268344,"{'avance_balon': 34.949009791150544, 'dist_balon_jug_1': -5.359758397967454, 'dist_balon_jug_2': -9.121248576678184, 'dist_balon_jug_3': -27.395517716252183, 'dist_balon_op_1': 36.71936810008624, 'dist_balon_op_2': 23.772809511949887, 'dist_balon_op_3': 31.11812261813806, 'avance_jug_1': -17.06241938249167, 'avance_jug_2': 39.790882684400025, 'avance_jug_3': -15.565195859937774, 'avance_op_1': -33.511274578239025, 'avance_op_2': -26.80612397260715, 'avance_op_3': 47.46309150581706, 'muy_cerca_borde_jug': 16.011563916559027, 'muy_cerca_borde_op': -39.301646405883595, 'arq_en_area_jug': 37.35587332775867, 'arq_en_area_op': -39.228228598754065, 'mas_cerca_balon': 10.542304431035198, 'casilla_neutra': -16.753428718475085, 'casilla_especial': -3.3261358148435827, 'muy_cerca_jug': 12.958282317873838, 'muy_lejos_jug': 17.311603253949926, 'muy_cerca_op': 45.957635741385204, 'muy_lejos_op': 26.158938476612477}",-0.030000000000000027,-0.030000000000000027,0.235
2,0.27749999999999997,0.075,0.12905,0.034658115932635465,"{'avance_balon': -14.356996822128067, 'dist_balon_jug_1': -25.690370114686612, 'dist_balon_jug_2': -20.70687177892251, 'dist_balon_jug_3': 4.015628658119631, 'dist_balon_op_1': 2.9006796228396325, 'dist_balon_op_2': -40.833413463354404, 'dist_balon_op_3': 16.057085370284113, 'avance_jug_1': -18.276007670644855, 'avance_jug_2': 48.67791343494139, 'avance_jug_3': 46.37486662920338, 'avance_op_1': 2.209369110807037, 'avance_op_2': -10.88192916438431, 'avance_op_3': -42.509927410051795, 'muy_cerca_borde_jug': -25.89350760229705, 'muy_cerca_borde_op': -42.403344017311426, 'arq_en_area_jug': -15.487246741798735, 'arq_en_area_op': 6.500437551833761, 'mas_cerca_balon': 28.90374021445386, 'casilla_neutra': -47.681285448288676, 'casilla_especial': -37.47325605007069, 'muy_cerca_jug': -34.61031200343254, 'muy_lejos_jug': -36.83754675817488, 'muy_cerca_op': -6.821589184855711, 'muy_lejos_op': 12.692475468826082}",-0.040000000000000036,-0.07000000000000006,0.20249999999999996
3,0.3025,0.08,0.1284425,0.03556972650653924,"{'avance_balon': 5.568078057589034, 'dist_balon_jug_1': 1.2310883010629468, 'dist_balon_jug_2': 4.633827893138253, 'dist_balon_jug_3': -2.9747030734785795, 'dist_balon_op_1': 30.630984983919546, 'dist_balon_op_2': 29.040075658209044, 'dist_balon_op_3': -13.171283993532292, 'avance_jug_1': 18.494473279207853, 'avance_jug_2': -15.314556803650134, 'avance_jug_3': -14.780246546963227, 'avance_op_1': -35.145226471944554, 'avance_op_2': -47.50593856712529, 'avance_op_3': -42.364891061184565, 'muy_cerca_borde_jug': 9.37802224987562, 'muy_cerca_borde_op': 11.763424271983581, 'arq_en_area_jug': 3.5197142245676716, 'arq_en_area_op': 23.707643094675404, 'mas_cerca_balon': 48.93555066780975, 'casilla_neutra': -11.098440259614897, 'casilla_especial': 13.859700881490964, 'muy_cerca_jug': 18.439921083384704, 'muy_lejos_jug': 8.127818500813476, 'muy_cerca_op': 38.120946074152755, 'muy_lejos_op': 18.008191042817685}",0.025000000000000022,-0.04500000000000004,0.22249999999999998
4,0.34750000000000003,0.0825,0.13004500000000002,0.0361230255515786,"{'avance_balon': -19.321803575997798, 'dist_balon_jug_1': -44.11818676909207, 'dist_balon_jug_2': -38.93071603912094, 'dist_balon_jug_3': 48.225124381706735, 'dist_balon_op_1': -23.071389420565236, 'dist_balon_op_2': -16.236325941737043, 'dist_balon_op_3': -30.865233767268666, 'avance_jug_1': 43.312679785942336, 'avance_jug_2': 17.369352632050724, 'avance_jug_3': -39.00690072869151, 'avance_op_1': -35.06097024590497, 'avance_op_2': 10.661324083438295, 'avance_op_3': 2.1670086569465, 'muy_cerca_borde_jug': 16.33248977363492, 'muy_cerca_borde_op': 43.867489147797194, 'arq_en_area_jug': 13.386187144829869, 'arq_en_area_op': -33.11672184249718, 'mas_cerca_balon': -1.0988861217711174, 'casilla_neutra': -21.30013669336346, 'casilla_especial': -30.653573162338358, 'muy_cerca_jug': -6.6214286511063305, 'muy_lejos_jug': -12.341867918206383, 'muy_cerca_op': -10.552550749502501, 'muy_lejos_op': -37.283996971197055}",0.04500000000000004,0.0,0.265
5,0.3,0.08,0.13239250000000002,0.03893304757850328,"{'avance_balon': 16.105002612717186, 'dist_balon_jug_1': -27.459390299162767, 'dist_balon_jug_2': -3.5597928880370944, 'dist_balon_jug_3': -39.42488147668059, 'dist_balon_op_1': 43.292355056185684, 'dist_balon_op_2': 25.739924492476476, 'dist_balon_op_3': -15.085694216913222, 'avance_jug_1': 36.43803205428653, 'avance_jug_2': -8.668324102494166, 'avance_jug_3': -42.065381880264475, 'avance_op_1': 9.611547594146167, 'avance_op_2': -50.0, 'avance_op_3': -48.97026973275974, 'muy_cerca_borde_jug': 31.51472634948972, 'muy_cerca_borde_op': -44.75605181018246, 'arq_en_area_jug': 3.5197142245676716, 'arq_en_area_op': 10.517806456828925, 'mas_cerca_balon': -9.165979987705327, 'casilla_neutra': 40.433040943141805, 'casilla_especial': -43.2335268565996, 'muy_cerca_jug': -29.33697040784018, 'muy_lejos_jug': -39.77955407950022, 'muy_cerca_op': -17.71348890570279, 'muy_lejos_op': 31.403635747816324}",-0.04750000000000004,-0.04750000000000004,0.21999999999999997
6,0.3025,0.08,0.1326225,0.03922727040911717,"{'avance_balon': 5.568078057589034, 'dist_balon_jug_1': -5.0282087631528265, 'dist_balon_jug_2': -18.422218329544194, 'dist_balon_jug_3': 25.04025215108456, 'dist_balon_op_1': -50.0, 'dist_balon_op_2': -36.02120335139125, 'dist_balon_op_3': -37.89464409780716, 'avance_jug_1': 11.603429270031675, 'avance_jug_2': 44.681067905492206, 'avance_jug_3': 22.651030412835624, 'avance_op_1': -40.70051406216919, 'avance_op_2': -47.50593856712529, 'avance_op_3': -2.7064347504204225, 'muy_cerca_borde_jug': 20.959211458464097, 'muy_cerca_borde_op': 33.15236369588569, 'arq_en_area_jug': 5.519581871379244, 'arq_en_area_op': -23.426624371824868, 'mas_cerca_balon': 48.51148519373526, 'casilla_neutra': -6.808681240653684, 'casilla_especial': -39.581907408735056, 'muy_cerca_jug': -19.402353346909184, 'muy_lejos_jug': 33.30507620969425, 'muy_cerca_op': -6.821589184855711, 'muy_lejos_op': 22.24245847516204}",0.0025000000000000022,-0.04500000000000004,0.22249999999999998
7,0.3025,0.08,0.13393,0.04050592672683838,"{'avance_balon': -7.290426312538354, 'dist_balon_jug_1': -28.73296816722427, 'dist_balon_jug_2': 20.536230181622262, 'dist_balon_jug_3': 33.48439883018279, 'dist_balon_op_1': -11.264082614887919, 'dist_balon_op_2': 43.16257395543643, 'dist_balon_op_3': -13.653042597792538, 'avance_jug_1': 26.89830911373889, 'avance_jug_2': -24.07082347332801, 'avance_jug_3': 17.708223050364946, 'avance_op_1': -50.0, 'avance_op_2': 3.763517717319006, 'avance_op_3': -25.454524781352504, 'muy_cerca_borde_jug': -10.566661789164698, 'muy_cerca_borde_op': 27.994342806517313, 'arq_en_area_jug': -6.401853301804085, 'arq_en_area_op': 40.75640660681066, 'mas_cerca_balon': 1.723622076255218, 'casilla_neutra': -8.418901968466356, 'casilla_especial': 10.45599531173171, 'muy_cerca_jug': 46.05511975760689, 'muy_lejos_jug': -20.852365691472205, 'muy_cerca_op': 16.665191719605232, 'muy_lejos_op': 9.19017273147221}",0.0,-0.04500000000000004,0.22249999999999998
8,0.34750000000000003,0.0825,0.1354425,0.041529181833380724,"{'avance_balon': -7.290426312538354, 'dist_balon_jug_1': -28.73296816722427, 'dist_balon_jug_2': 20.536230181622262, 'dist_balon_jug_3': 33.48439883018279, 'dist_balon_op_1': -11.264082614887919, 'dist_balon_op_2': 43.16257395543643, 'dist_balon_op_3': -13.653042597792538, 'avance_jug_1': 26.89830911373889, 'avance_jug_2': -24.07082347332801, 'avance_jug_3': 17.708223050364946, 'avance_op_1': -50.0, 'avance_op_2': 3.763517717319006, 'avance_op_3': -25.454524781352504, 'muy_cerca_borde_jug': -10.566661789164698, 'muy_cerca_borde_op': 27.994342806517313, 'arq_en_area_jug': -6.401853301804085, 'arq_en_area_op': 40.75640660681066, 'mas_cerca_balon': 1.723622076255218, 'casilla_neutra': -8.418901968466356, 'casilla_especial': 10.45599531173171, 'muy_cerca_jug': 46.05511975760689, 'muy_lejos_jug': -20.852365691472205, 'muy_cerca_op': 16.665191719605232, 'muy_lejos_op': 9.19017273147221}",0.04500000000000004,0.0,0.265
9,0.3675,0.0825,0.13539249999999997,0.0417736722559796,"{'avance_balon': -7.290426312538354, 'dist_balon_jug_1': -28.73296816722427, 'dist_balon_jug_2': 20.536230181622262, 'dist_balon_jug_3': 33.48439883018279, 'dist_balon_op_1': -11.264082614887919, 'dist_balon_op_2': 43.16257395543643, 'dist_balon_op_3': -13.653042597792538, 'avance_jug_1': 26.89830911373889, 'avance_jug_2': -24.07082347332801, 'avance_jug_3': 17.708223050364946, 'avance_op_1': -50.0, 'avance_op_2': 3.763517717319006, 'avance_op_3': -25.454524781352504, 'muy_cerca_borde_jug': -10.566661789164698, 'muy_cerca_borde_op': 27.994342806517313, 'arq_en_area_jug': -6.401853301804085, 'arq_en_area_op': 40.75640660681066, 'mas_cerca_balon': 1.723622076255218, 'casilla_neutra': -8.418901968466356, 'casilla_especial': 10.45599531173171, 'muy_cerca_jug': 46.05511975760689, 'muy_lejos_jug': -20.852365691472205, 'muy_cerca_op': 16.665191719605232, 'muy_lejos_op': 9.19017273147221}",0.019999999999999962,0.019999999999999962,0.285
